文件名	target name	accession	query name	accession	E-value	score	bias	E-value	score	bias	exp	reg	clu	ov	env	dom	rep	inc	description of target
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_623	-	lolD.aln	-	2.6e-38	129.8	0.1	7.2e-38	128.4	0.1	1.6	1	1	0	1	1	1	1	# 694635 # 695402 # 1 # ID=7_623;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.566
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_410	-	lolD.aln	-	7.8e-38	128.3	0.4	2.5e-16	57.9	0.0	4.0	2	2	1	3	3	3	3	# 407577 # 409490 # 1 # ID=11_410;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.556
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1485	-	lolD.aln	-	1.7e-37	127.2	0.0	2.1e-37	126.9	0.0	1.1	1	0	0	1	1	1	1	# 1644300 # 1645304 # 1 # ID=7_1485;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.524
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_266	-	lolD.aln	-	2e-37	127.0	0.0	2.5e-37	126.6	0.0	1.0	1	0	0	1	1	1	1	# 277712 # 278521 # -1 # ID=11_266;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.543
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1766	-	lolD.aln	-	3.6e-35	119.6	2.0	7.6e-33	112.0	2.0	2.1	1	1	0	1	1	1	1	# 1923653 # 1924579 # -1 # ID=7_1766;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.540
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_752	-	lolD.aln	-	6e-35	118.8	0.0	7e-35	118.6	0.0	1.1	1	0	0	1	1	1	1	# 855430 # 856107 # 1 # ID=7_752;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.456
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_319	-	lolD.aln	-	8.4e-35	118.4	0.2	1.2e-34	117.9	0.2	1.2	1	0	0	1	1	1	1	# 346057 # 346755 # -1 # ID=7_319;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.574
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_2417	-	lolD.aln	-	1.1e-34	118.0	0.3	1.5e-34	117.5	0.3	1.1	1	0	0	1	1	1	1	# 2609461 # 2610387 # -1 # ID=7_2417;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.553
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1027	-	lolD.aln	-	1.9e-34	117.2	0.0	9.9e-19	65.8	0.0	3.2	3	0	0	3	3	3	3	# 1147033 # 1148505 # -1 # ID=7_1027;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.525
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1155	-	lolD.aln	-	2.8e-34	116.7	0.3	4.7e-34	115.9	0.3	1.3	1	0	0	1	1	1	1	# 1287008 # 1288729 # -1 # ID=7_1155;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.539
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1767	-	lolD.aln	-	2.8e-33	113.4	0.2	3.4e-33	113.1	0.2	1.1	1	0	0	1	1	1	1	# 1924572 # 1925558 # -1 # ID=7_1767;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1537	-	lolD.aln	-	3.7e-33	113.0	0.1	5.2e-33	112.5	0.1	1.2	1	0	0	1	1	1	1	# 1699093 # 1699899 # -1 # ID=7_1537;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.514
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_506	-	lolD.aln	-	7.6e-33	112.0	0.7	7.5e-32	108.7	0.7	1.9	1	1	0	1	1	1	1	# 518563 # 519330 # -1 # ID=11_506;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.557
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1433	-	lolD.aln	-	1.6e-31	107.6	0.1	2.2e-31	107.2	0.1	1.1	1	0	0	1	1	1	1	# 1584355 # 1585113 # -1 # ID=7_1433;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.539
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1182	-	lolD.aln	-	1.7e-31	107.5	0.3	2.8e-31	106.8	0.3	1.3	1	0	0	1	1	1	1	# 1324743 # 1326491 # 1 # ID=7_1182;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.505
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1032	-	lolD.aln	-	2.2e-31	107.2	0.0	3.5e-31	106.5	0.0	1.2	1	0	0	1	1	1	1	# 1151271 # 1152329 # 1 # ID=7_1032;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.534
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1538	-	lolD.aln	-	5.1e-31	106.0	0.1	4.3e-30	103.0	0.1	1.9	1	1	0	1	1	1	1	# 1699901 # 1700893 # -1 # ID=7_1538;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.516
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_874	-	lolD.aln	-	9.5e-31	105.1	0.0	1.5e-30	104.4	0.0	1.2	1	0	0	1	1	1	1	# 978974 # 979789 # -1 # ID=7_874;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.545
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_568	-	lolD.aln	-	1.8e-30	104.2	0.0	2.3e-30	103.8	0.0	1.1	1	0	0	1	1	1	1	# 584998 # 585768 # 1 # ID=11_568;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.486
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_2003	-	lolD.aln	-	6.8e-30	102.3	0.0	8.8e-30	101.9	0.0	1.0	1	0	0	1	1	1	1	# 2188118 # 2188771 # 1 # ID=7_2003;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.520
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_505	-	lolD.aln	-	7.8e-30	102.1	0.1	9.1e-30	101.9	0.1	1.1	1	0	0	1	1	1	1	# 517848 # 518561 # -1 # ID=11_505;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.570
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_377	-	lolD.aln	-	1.6e-29	101.1	0.0	2.2e-29	100.6	0.0	1.2	1	0	0	1	1	1	1	# 416331 # 417257 # 1 # ID=7_377;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.494
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_797	-	lolD.aln	-	2.1e-29	100.7	0.0	2.6e-29	100.4	0.0	1.1	1	0	0	1	1	1	1	# 855543 # 856316 # -1 # ID=11_797;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.525
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_272	-	lolD.aln	-	2.2e-29	100.7	0.0	2.5e-29	100.4	0.0	1.1	1	0	0	1	1	1	1	# 282400 # 283125 # 1 # ID=11_272;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.541
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_2109	-	lolD.aln	-	2.7e-29	100.4	3.3	2.7e-20	70.9	0.2	2.1	2	0	0	2	2	2	2	# 2295451 # 2296206 # 1 # ID=7_2109;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.489
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_401	-	lolD.aln	-	6.6e-29	99.1	0.0	7.6e-17	59.6	0.1	2.1	2	0	0	2	2	2	2	# 442831 # 443628 # 1 # ID=7_401;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.561
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_110	-	lolD.aln	-	1.2e-27	95.0	0.0	1.6e-27	94.6	0.0	1.1	1	0	0	1	1	1	1	# 111050 # 111859 # -1 # ID=11_110;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.491
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732768.1_56	-	lolD.aln	-	3.5e-26	90.2	2.9	3e-10	38.0	0.0	4.2	4	0	0	4	4	4	4	# 66087 # 68909 # -1 # ID=13_56;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_743	-	lolD.aln	-	1.5e-25	88.1	0.3	2.6e-25	87.3	0.3	1.3	1	0	0	1	1	1	1	# 846592 # 848754 # 1 # ID=7_743;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.573
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_705	-	lolD.aln	-	4.9e-25	86.4	1.0	7.8e-25	85.8	1.0	1.3	1	0	0	1	1	1	1	# 781249 # 783030 # 1 # ID=7_705;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.556
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732766.1_530	-	lolD.aln	-	1.3e-23	81.8	1.6	1.5e-16	58.6	0.2	2.0	2	0	0	2	2	2	2	# 542156 # 542920 # 1 # ID=11_530;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.593
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_2497	-	lolD.aln	-	6.7e-23	79.4	0.1	3.1e-21	74.0	0.1	2.2	1	1	0	1	1	1	1	# 2697828 # 2699471 # -1 # ID=7_2497;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.534
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_2486	-	lolD.aln	-	3.7e-22	77.0	0.1	2e-21	74.6	0.1	1.8	1	1	0	1	1	1	1	# 2688444 # 2689067 # -1 # ID=7_2486;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1156	-	lolD.aln	-	5e-22	76.6	0.0	1e-21	75.5	0.0	1.4	1	1	0	1	1	1	1	# 1288730 # 1290496 # -1 # ID=7_1156;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_704	-	lolD.aln	-	3e-21	74.0	0.1	5.1e-21	73.3	0.1	1.3	1	0	0	1	1	1	1	# 779484 # 781256 # 1 # ID=7_704;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.538
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1957	-	lolD.aln	-	5.3e-18	63.4	0.8	6.4e-09	33.7	0.1	2.1	2	0	0	2	2	2	2	# 2142540 # 2143289 # -1 # ID=7_1957;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.552
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1929	-	lolD.aln	-	1.4e-17	62.1	0.1	1.8e-09	35.5	0.1	2.1	2	0	0	2	2	2	2	# 2111496 # 2112242 # -1 # ID=7_1929;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.505
GCA_000351625.1_Esch_coli_KTE66_V1_genomic	KB732762.1_1779	-	lolD.aln	-	3.6e-16	57.4	0.0	1.6e-10	38.9	0.0	2.3	2	0	0	2	2	2	2	# 1944213 # 1945898 # -1 # ID=7_1779;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.430
