Input_ID,Standard_ID,Organism
GCA_006402015.1,GCF_006402015.1,Myxococcus xanthus 
GCA_010692905.1,GCF_010692905.1,Haloferax volcanii 
GCA_006402735.1,GCF_006402735.1,Myxococcus xanthus 
GCA_015654385.1,GCF_015654385.1,Saccharolobus solfataricus 
GCA_006402415.1,GCF_006402415.1,Myxococcus xanthus 
GCA_015775755.1,GCF_015775755.1,Myxococcus xanthus 
GCA_018517205.1,GCF_018517205.1,Myxococcus xanthus DZ2 
GCA_019895115.1,GCF_019895115.1,Myxococcus xanthus 
GCA_016698685.1,GCF_016698685.1,Myxococcus xanthus 
GCA_018511305.1,GCF_018511305.1,Geobacter sulfurreducens 
GCA_019904315.1,GCF_019904315.1,Geobacter sulfurreducens 
GCA_020827275.1,GCF_020827275.1,Myxococcus xanthus DZ2 
GCA_025558485.1,GCF_025558485.1,Bdellovibrio bacteriovorus 
GCA_023115395.1,GCA_023115395.1,Arabidopsis thaliana 
GCA_024205665.1,GCF_024205665.1,Geobacter sulfurreducens 
GCA_026108075.1,GCA_026108075.1,Chlamydomonas reinhardtii 
GCA_027947635.1,GCF_027947635.1,Nitratidesulfovibrio vulgaris 
GCA_028009825.2,GCA_028009825.2,Arabidopsis thaliana 
GCA_028471785.1,GCF_028471785.1,Thermococcus kodakarensis 
GCA_029225785.1,GCF_029225785.1,Haloferax volcanii 
GCA_028471865.1,GCF_028471865.1,Thermococcus kodakarensis 
GCA_030297095.1,GCF_030297095.1,Geobacter sulfurreducens subsp. ethanolicus 
GCA_029232225.1,GCF_029232225.1,Haloferax volcanii 
GCA_037076595.1,GCF_037076595.1,Bdellovibrio bacteriovorus 
GCA_040893065.2,GCF_040893065.1,Saccharolobus solfataricus 
GCA_041886815.1,GCF_041886815.1,Bdellovibrio bacteriovorus 
GCA_041887405.1,GCF_041887405.1,Bdellovibrio bacteriovorus 
GCA_041888015.1,GCF_041888015.1,Bdellovibrio bacteriovorus 
GCA_041888585.1,GCF_041888585.1,Bdellovibrio bacteriovorus 
GCA_041888735.1,GCF_041888735.1,Bdellovibrio bacteriovorus 
GCA_041888745.1,GCF_041888745.1,Bdellovibrio bacteriovorus 
GCA_041888755.1,GCF_041888755.1,Bdellovibrio bacteriovorus 
GCA_041900585.1,GCF_041900585.1,Bdellovibrio bacteriovorus 
GCA_041888765.1,GCF_041888765.1,Bdellovibrio bacteriovorus 
GCA_050563475.1,GCF_050563475.1,Haloferax volcanii 
GCA_051624255.1,GCA_051624255.1,Arabidopsis thaliana 
GCF_000007005.1,GCF_000007005.1,Saccharolobus solfataricus P2 
GCA_051624265.1,GCA_051624265.1,Arabidopsis thaliana 
GCA_052779095.1,GCF_052779095.1,Myxococcus xanthus DZ2 
GCA_900079115.1,GCF_900079115.1,Saccharolobus solfataricus 
GCA_946409825.1,GCA_946409825.1,Arabidopsis thaliana 
GCF_000007345.1,GCF_000007345.1,Methanosarcina acetivorans C2A 
GCF_000007985.2,GCF_000007985.2,Geobacter sulfurreducens PCA 
GCF_000009965.1,GCF_000009965.1,Thermococcus kodakarensis KOD1 
GCF_000011385.1,GCF_000011385.1,Gloeobacter violaceus PCC 7421 
GCF_000012685.1,GCF_000012685.1,Myxococcus xanthus DK 1622 
GCF_000015485.1,GCF_000015485.1,Nitratidesulfovibrio vulgaris DP4 
GCF_000021725.1,GCF_000021725.1,Nautilia profundicola AmH 
GCF_000091205.1,GCF_000091205.1,
GCF_000025685.1,GCF_000025685.1,Haloferax volcanii DS2 
GCF_000091665.1,GCF_000091665.1,Methanocaldococcus jannaschii DSM 2661 
GCF_000146165.2,GCF_000146165.2,Shewanella oneidensis MR-1 
GCF_000166115.1,GCF_000166115.1,Nitratidesulfovibrio vulgaris RCH1 
GCF_000196175.1,GCF_000196175.1,Bdellovibrio bacteriovorus HD100 
GCF_000195755.1,GCF_000195755.1,Nitratidesulfovibrio vulgaris str. Hildenborough 
GCF_000210155.1,GCF_000210155.1,Geobacter sulfurreducens KN400 
GCF_000317895.1,GCF_000317895.1,Bdellovibrio bacteriovorus str. Tiberius 
GCF_000382925.1,GCF_000382925.1,Listeria monocytogenes 
GCF_000438605.1,GCF_000438605.1,Listeria monocytogenes 
GCF_000438585.1,GCF_000438585.1,Listeria monocytogenes 
GCF_000438625.1,GCF_000438625.1,Listeria monocytogenes 
GCF_000438645.1,GCF_000438645.1,Listeria monocytogenes 
GCF_000438685.2,GCF_000438685.2,Listeria monocytogenes 
GCF_000438705.2,GCF_000438705.2,Listeria monocytogenes 
GCF_000438665.2,GCF_000438665.2,Listeria monocytogenes 
GCF_000438725.2,GCF_000438725.2,Listeria monocytogenes 
GCF_000525675.1,GCF_000525675.1,Bdellovibrio bacteriovorus W 
GCF_000438745.2,GCF_000438745.2,Listeria monocytogenes 
GCF_000600015.1,GCF_000600015.1,Listeria monocytogenes 
GCF_000681515.2,GCF_000681515.2,Listeria monocytogenes 
GCF_000685665.1,GCF_000685665.1,Helicobacter pylori 
GCF_000691605.1,GCF_000691605.1,Bdellovibrio bacteriovorus 
GCF_000685705.1,GCF_000685705.1,Helicobacter pylori 
GCF_000685745.1,GCF_000685745.1,Helicobacter pylori 
GCF_000746625.1,GCF_000746625.1,Listeria monocytogenes 
GCF_000759575.2,GCF_000759575.2,Campylobacter jejuni 
GCF_000800335.1,GCF_000800335.1,Listeria monocytogenes 
GCF_000808055.1,GCF_000808055.1,Listeria monocytogenes 
GCF_000817025.1,GCF_000817025.1,Helicobacter pylori 
GCF_000827025.1,GCF_000827025.1,Helicobacter pylori 
GCF_000950775.1,GCF_000950775.1,Listeria monocytogenes 
GCF_000968395.2,GCF_000968395.2,Saccharolobus solfataricus 
GCF_000968355.2,GCF_000968355.2,Saccharolobus solfataricus 
GCF_000968435.2,GCF_000968435.2,Saccharolobus solfataricus 
GCF_001005925.2,GCF_001005925.2,Listeria monocytogenes 
GCF_001005985.1,GCF_001005985.1,Listeria monocytogenes 
GCF_001013565.1,GCF_001013565.1,Bordetella pertussis 
GCF_001027065.1,GCF_001027065.1,Listeria monocytogenes 
GCF_001027085.1,GCF_001027085.1,Listeria monocytogenes 
GCF_001027125.1,GCF_001027125.1,Listeria monocytogenes 
GCF_001027165.1,GCF_001027165.1,Listeria monocytogenes 
GCF_001027205.1,GCF_001027205.1,Listeria monocytogenes 
GCF_001027245.1,GCF_001027245.1,Listeria monocytogenes 
GCF_001047715.2,GCF_001047715.2,Listeria monocytogenes 
GCF_001188025.2,GCF_001188025.2,Listeria monocytogenes 
GCF_001188045.3,GCF_001188045.3,Listeria monocytogenes 
GCF_001188655.1,GCF_001188655.1,Listeria monocytogenes 
GCF_001307525.1,GCF_001307525.1,Bordetella pertussis 
GCF_001307565.1,GCF_001307565.1,Bordetella pertussis 
GCF_001307585.1,GCF_001307585.1,Bordetella pertussis 
GCF_001307605.1,GCF_001307605.1,Bordetella pertussis 
GCF_001307625.1,GCF_001307625.1,Bordetella pertussis 
GCF_001307665.1,GCF_001307665.1,Bordetella pertussis 
GCF_001307645.1,GCF_001307645.1,Bordetella pertussis 
GCF_001307685.1,GCF_001307685.1,Bordetella pertussis 
GCF_001307725.1,GCF_001307725.1,Bordetella pertussis 
GCF_001307705.1,GCF_001307705.1,Bordetella pertussis 
GCF_001307745.1,GCF_001307745.1,Bordetella pertussis 
GCF_001314285.1,GCF_001314285.1,Campylobacter jejuni 
GCF_001412295.1,GCF_001412295.1,Campylobacter jejuni 
GCF_001454845.1,GCF_001454845.1,Listeria monocytogenes 
GCF_001433515.1,GCF_001433515.1,Helicobacter pylori 
GCF_001433495.1,GCF_001433495.1,Helicobacter pylori 
GCF_001454865.1,GCF_001454865.1,Listeria monocytogenes 
GCF_001454885.1,GCF_001454885.1,Listeria monocytogenes 
GCF_001457695.1,GCF_001457695.1,Campylobacter jejuni 
GCF_001483405.1,GCF_001483405.1,Listeria monocytogenes 
GCF_001454925.1,GCF_001454925.1,Listeria monocytogenes 
GCF_001483425.1,GCF_001483425.1,Listeria monocytogenes 
GCF_001483445.1,GCF_001483445.1,Listeria monocytogenes 
GCF_001506185.1,GCF_001506185.1,Campylobacter jejuni 
GCF_001506225.1,GCF_001506225.1,Campylobacter jejuni 
GCF_001506205.1,GCF_001506205.1,Campylobacter jejuni 
GCF_001506245.1,GCF_001506245.1,Campylobacter jejuni 
GCF_001506265.1,GCF_001506265.1,Campylobacter jejuni 
GCF_001506305.1,GCF_001506305.1,Campylobacter jejuni 
GCF_001506285.1,GCF_001506285.1,Campylobacter jejuni 
GCF_001506345.1,GCF_001506345.1,Campylobacter jejuni 
GCF_001506365.1,GCF_001506365.1,Campylobacter jejuni 
GCF_001506385.1,GCF_001506385.1,Campylobacter jejuni 
GCF_001506425.1,GCF_001506425.1,Campylobacter jejuni 
GCF_001506405.1,GCF_001506405.1,Campylobacter jejuni 
GCF_001506445.1,GCF_001506445.1,Campylobacter jejuni 
GCF_001506465.1,GCF_001506465.1,Campylobacter jejuni 
GCF_001506485.1,GCF_001506485.1,Campylobacter jejuni 
GCF_001506505.1,GCF_001506505.1,Campylobacter jejuni 
GCF_001506525.1,GCF_001506525.1,Campylobacter jejuni 
GCF_001506545.1,GCF_001506545.1,Campylobacter jejuni 
GCF_001506565.1,GCF_001506565.1,Campylobacter jejuni 
GCF_001506585.1,GCF_001506585.1,Campylobacter jejuni 
GCF_001506625.1,GCF_001506625.1,Campylobacter jejuni 
GCF_001506605.1,GCF_001506605.1,Campylobacter jejuni 
GCF_001506645.1,GCF_001506645.1,Campylobacter jejuni 
GCF_001506665.1,GCF_001506665.1,Campylobacter jejuni 
GCF_001506685.1,GCF_001506685.1,Campylobacter jejuni 
GCF_001506705.1,GCF_001506705.1,Campylobacter jejuni 
GCF_001506725.1,GCF_001506725.1,Campylobacter jejuni 
GCF_001506745.1,GCF_001506745.1,Campylobacter jejuni 
GCF_001506765.1,GCF_001506765.1,Campylobacter jejuni 
GCF_001506785.1,GCF_001506785.1,Campylobacter jejuni 
GCF_001506825.1,GCF_001506825.1,Campylobacter jejuni 
GCF_001506805.1,GCF_001506805.1,Campylobacter jejuni 
GCF_001506845.1,GCF_001506845.1,Campylobacter jejuni 
GCF_001506865.1,GCF_001506865.1,Campylobacter jejuni 
GCF_001506885.1,GCF_001506885.1,Campylobacter jejuni 
GCF_001506925.1,GCF_001506925.1,Campylobacter jejuni 
GCF_001506905.1,GCF_001506905.1,Campylobacter jejuni 
GCF_001506945.1,GCF_001506945.1,Campylobacter jejuni 
GCF_001506965.1,GCF_001506965.1,Campylobacter jejuni 
GCF_001506985.1,GCF_001506985.1,Campylobacter jejuni 
GCF_001507005.1,GCF_001507005.1,Campylobacter jejuni 
GCF_001507025.1,GCF_001507025.1,Campylobacter jejuni 
GCF_001507045.1,GCF_001507045.1,Campylobacter jejuni 
GCF_001507065.1,GCF_001507065.1,Campylobacter jejuni 
GCF_001507085.1,GCF_001507085.1,Campylobacter jejuni 
GCF_001507145.1,GCF_001507145.1,Campylobacter jejuni 
GCF_001507105.1,GCF_001507105.1,Campylobacter jejuni 
GCF_001507125.1,GCF_001507125.1,Campylobacter jejuni 
GCF_001507165.1,GCF_001507165.1,Campylobacter jejuni 
GCF_001507185.1,GCF_001507185.1,Campylobacter jejuni 
GCF_001507205.1,GCF_001507205.1,Campylobacter jejuni 
GCF_001507225.1,GCF_001507225.1,Campylobacter jejuni 
GCF_001507245.1,GCF_001507245.1,Campylobacter jejuni 
GCF_001507265.1,GCF_001507265.1,Campylobacter jejuni 
GCF_001509895.1,GCF_001509895.1,Bordetella pertussis 
GCF_001509915.1,GCF_001509915.1,Bordetella pertussis 
GCF_001513695.1,GCF_001513695.1,Listeria monocytogenes 
GCF_001548585.2,GCF_001548585.2,Listeria monocytogenes 
GCF_001548635.2,GCF_001548635.2,Listeria monocytogenes 
GCF_001549715.1,GCF_001549715.1,Helicobacter pylori 
GCF_001549875.1,GCF_001549875.1,Helicobacter pylori 
GCF_001551855.1,GCF_001551855.1,Listeria monocytogenes 
GCF_001549855.1,GCF_001549855.1,Helicobacter pylori 
GCF_001558395.1,GCF_001558395.1,Bordetella pertussis 
GCF_001563565.1,GCF_001563565.1,Campylobacter jejuni 
GCF_001596775.2,GCF_001596775.2,Listeria monocytogenes 
GCF_001587015.1,GCF_001587015.1,Campylobacter jejuni 
GCF_001587035.1,GCF_001587035.1,Campylobacter jejuni 
GCF_001605035.1,GCF_001605035.1,Bordetella pertussis 
GCF_001605055.1,GCF_001605055.1,Bordetella pertussis 
GCF_001605075.1,GCF_001605075.1,Bordetella pertussis 
GCF_001605115.1,GCF_001605115.1,Bordetella pertussis 
GCF_001605095.1,GCF_001605095.1,Bordetella pertussis 
GCF_001605135.1,GCF_001605135.1,Bordetella pertussis 
GCF_001605155.1,GCF_001605155.1,Bordetella pertussis 
GCF_001605175.1,GCF_001605175.1,Bordetella pertussis 
GCF_001605215.1,GCF_001605215.1,Bordetella pertussis 
GCF_001605195.1,GCF_001605195.1,Bordetella pertussis 
GCF_001605235.1,GCF_001605235.1,Bordetella pertussis 
GCF_001605255.1,GCF_001605255.1,Bordetella pertussis 
GCF_001605345.1,GCF_001605345.1,Bordetella pertussis 
GCF_001605275.1,GCF_001605275.1,Bordetella pertussis 
GCF_001605295.1,GCF_001605295.1,Bordetella pertussis 
GCF_001605365.1,GCF_001605365.1,Bordetella pertussis 
GCF_001605385.1,GCF_001605385.1,Bordetella pertussis 
GCF_001605425.1,GCF_001605425.1,Bordetella pertussis 
GCF_001605405.1,GCF_001605405.1,Bordetella pertussis 
GCF_001605445.1,GCF_001605445.1,Bordetella pertussis 
GCF_001605465.1,GCF_001605465.1,Bordetella pertussis 
GCF_001605485.1,GCF_001605485.1,Bordetella pertussis 
GCF_001605525.1,GCF_001605525.1,Bordetella pertussis 
GCF_001605505.1,GCF_001605505.1,Bordetella pertussis 
GCF_001605545.1,GCF_001605545.1,Bordetella pertussis 
GCF_001605565.1,GCF_001605565.1,Bordetella pertussis 
GCF_001605585.1,GCF_001605585.1,Bordetella pertussis 
GCF_001605625.1,GCF_001605625.1,Bordetella pertussis 
GCF_001605605.1,GCF_001605605.1,Bordetella pertussis 
GCF_001605645.1,GCF_001605645.1,Bordetella pertussis 
GCF_001605665.1,GCF_001605665.1,Bordetella pertussis 
GCF_001605685.1,GCF_001605685.1,Bordetella pertussis 
GCF_001628735.1,GCF_001628735.1,Bordetella pertussis 
GCF_001644625.1,GCF_001644625.1,Listeria monocytogenes 
GCF_001653375.1,GCF_001653375.1,Helicobacter pylori 
GCF_001653395.1,GCF_001653395.1,Helicobacter pylori 
GCF_001653415.1,GCF_001653415.1,Helicobacter pylori 
GCF_001653435.1,GCF_001653435.1,Helicobacter pylori 
GCF_001653455.1,GCF_001653455.1,Helicobacter pylori 
GCF_001653475.1,GCF_001653475.1,Helicobacter pylori 
GCF_001686365.1,GCF_001686365.1,Bordetella pertussis 
GCF_001686405.1,GCF_001686405.1,Bordetella pertussis 
GCF_001686425.1,GCF_001686425.1,Bordetella pertussis 
GCF_001686445.1,GCF_001686445.1,Bordetella pertussis 
GCF_001686465.1,GCF_001686465.1,Bordetella pertussis 
GCF_001686485.1,GCF_001686485.1,Bordetella pertussis 
GCF_001686505.1,GCF_001686505.1,Bordetella pertussis 
GCF_001686545.1,GCF_001686545.1,Bordetella pertussis 
GCF_001686565.1,GCF_001686565.1,Bordetella pertussis 
GCF_001686525.1,GCF_001686525.1,Bordetella pertussis 
GCF_001686605.1,GCF_001686605.1,Bordetella pertussis 
GCF_001686585.1,GCF_001686585.1,Bordetella pertussis 
GCF_001687405.1,GCF_001687405.1,Bordetella pertussis 
GCF_001686625.1,GCF_001686625.1,Bordetella pertussis 
GCF_001687385.1,GCF_001687385.1,Bordetella pertussis 
GCF_001831395.1,GCF_001831395.1,Bordetella pertussis 
GCF_001808165.1,GCF_001808165.1,Campylobacter jejuni 
GCF_001831415.1,GCF_001831415.1,Bordetella pertussis 
GCF_001831455.1,GCF_001831455.1,Bordetella pertussis 
GCF_001831435.1,GCF_001831435.1,Bordetella pertussis 
GCF_001865395.1,GCF_001865395.1,Campylobacter jejuni 
GCF_001865415.1,GCF_001865415.1,Campylobacter jejuni 
GCF_001870105.1,GCF_001870105.1,Campylobacter jejuni 
GCF_001865435.1,GCF_001865435.1,Campylobacter jejuni 
GCF_001870085.1,GCF_001870085.1,Campylobacter jejuni 
GCF_001951235.1,GCF_001951235.1,Campylobacter jejuni 
GCF_001951255.1,GCF_001951255.1,Campylobacter jejuni 
GCF_001951295.1,GCF_001951295.1,Campylobacter jejuni 
GCF_001951315.1,GCF_001951315.1,Campylobacter jejuni 
GCF_001951275.1,GCF_001951275.1,Campylobacter jejuni 
GCF_001951335.1,GCF_001951335.1,Campylobacter jejuni 
GCF_001984925.1,GCF_001984925.1,Bordetella pertussis 
GCF_001984945.1,GCF_001984945.1,Bordetella pertussis 
GCF_001984965.1,GCF_001984965.1,Bordetella pertussis 
GCF_001984985.1,GCF_001984985.1,Bordetella pertussis 
GCF_001985005.1,GCF_001985005.1,Bordetella pertussis 
GCF_001985025.1,GCF_001985025.1,Bordetella pertussis 
GCF_001985045.1,GCF_001985045.1,Bordetella pertussis 
GCF_001985065.1,GCF_001985065.1,Bordetella pertussis 
GCF_001985085.1,GCF_001985085.1,Bordetella pertussis 
GCF_001985105.1,GCF_001985105.1,Bordetella pertussis 
GCF_001985125.1,GCF_001985125.1,Bordetella pertussis 
GCF_001985165.1,GCF_001985165.1,Bordetella pertussis 
GCF_001985145.1,GCF_001985145.1,Bordetella pertussis 
GCF_001985205.1,GCF_001985205.1,Bordetella pertussis 
GCF_001985225.1,GCF_001985225.1,Bordetella pertussis 
GCF_001985245.1,GCF_001985245.1,Bordetella pertussis 
GCF_001985285.1,GCF_001985285.1,Bordetella pertussis 
GCF_001985265.1,GCF_001985265.1,Bordetella pertussis 
GCF_001985305.1,GCF_001985305.1,Bordetella pertussis 
GCF_001985325.1,GCF_001985325.1,Bordetella pertussis 
GCF_001985345.1,GCF_001985345.1,Bordetella pertussis 
GCF_001985365.1,GCF_001985365.1,Bordetella pertussis 
GCF_001985385.1,GCF_001985385.1,Bordetella pertussis 
GCF_001985405.1,GCF_001985405.1,Bordetella pertussis 
GCF_001985425.1,GCF_001985425.1,Bordetella pertussis 
GCF_001985465.1,GCF_001985465.1,Bordetella pertussis 
GCF_001985445.1,GCF_001985445.1,Bordetella pertussis 
GCF_001985485.1,GCF_001985485.1,Bordetella pertussis 
GCF_001985505.1,GCF_001985505.1,Bordetella pertussis 
GCF_001985525.1,GCF_001985525.1,Bordetella pertussis 
GCF_001985565.1,GCF_001985565.1,Bordetella pertussis 
GCF_001985545.1,GCF_001985545.1,Bordetella pertussis 
GCF_001985585.1,GCF_001985585.1,Bordetella pertussis 
GCF_001985605.1,GCF_001985605.1,Bordetella pertussis 
GCF_001985625.1,GCF_001985625.1,Bordetella pertussis 
GCF_001985645.1,GCF_001985645.1,Bordetella pertussis 
GCF_001985665.1,GCF_001985665.1,Bordetella pertussis 
GCF_001985685.1,GCF_001985685.1,Bordetella pertussis 
GCF_001985705.1,GCF_001985705.1,Bordetella pertussis 
GCF_001985725.1,GCF_001985725.1,Bordetella pertussis 
GCF_001985745.1,GCF_001985745.1,Bordetella pertussis 
GCF_001985765.1,GCF_001985765.1,Bordetella pertussis 
GCF_001985785.1,GCF_001985785.1,Bordetella pertussis 
GCF_001985805.1,GCF_001985805.1,Bordetella pertussis 
GCF_001985825.1,GCF_001985825.1,Bordetella pertussis 
GCF_001985845.1,GCF_001985845.1,Bordetella pertussis 
GCF_001985865.1,GCF_001985865.1,Bordetella pertussis 
GCF_001985885.1,GCF_001985885.1,Bordetella pertussis 
GCF_001985905.1,GCF_001985905.1,Bordetella pertussis 
GCF_001985965.1,GCF_001985965.1,Bordetella pertussis 
GCF_001985945.1,GCF_001985945.1,Bordetella pertussis 
GCF_001985925.1,GCF_001985925.1,Bordetella pertussis 
GCF_001985985.1,GCF_001985985.1,Bordetella pertussis 
GCF_001986005.1,GCF_001986005.1,Bordetella pertussis 
GCF_001986025.1,GCF_001986025.1,Bordetella pertussis 
GCF_001986065.1,GCF_001986065.1,Bordetella pertussis 
GCF_001986045.1,GCF_001986045.1,Bordetella pertussis 
GCF_001986085.1,GCF_001986085.1,Bordetella pertussis 
GCF_001986105.1,GCF_001986105.1,Bordetella pertussis 
GCF_001986175.1,GCF_001986175.1,Bordetella pertussis 
GCF_001986155.1,GCF_001986155.1,Bordetella pertussis 
GCF_001986195.1,GCF_001986195.1,Bordetella pertussis 
GCF_001986215.1,GCF_001986215.1,Bordetella pertussis 
GCF_001986235.1,GCF_001986235.1,Bordetella pertussis 
GCF_001986275.1,GCF_001986275.1,Bordetella pertussis 
GCF_001986255.1,GCF_001986255.1,Bordetella pertussis 
GCF_001986315.1,GCF_001986315.1,Bordetella pertussis 
GCF_001986295.1,GCF_001986295.1,Bordetella pertussis 
GCF_001986335.1,GCF_001986335.1,Bordetella pertussis 
GCF_001986355.1,GCF_001986355.1,Bordetella pertussis 
GCF_001986375.1,GCF_001986375.1,Bordetella pertussis 
GCF_001986415.1,GCF_001986415.1,Bordetella pertussis 
GCF_001986435.1,GCF_001986435.1,Bordetella pertussis 
GCF_001986455.1,GCF_001986455.1,Bordetella pertussis 
GCF_001986475.1,GCF_001986475.1,Bordetella pertussis 
GCF_001986495.1,GCF_001986495.1,Bordetella pertussis 
GCF_001986515.1,GCF_001986515.1,Bordetella pertussis 
GCF_001986535.1,GCF_001986535.1,Bordetella pertussis 
GCF_001986555.1,GCF_001986555.1,Bordetella pertussis 
GCF_001986595.1,GCF_001986595.1,Bordetella pertussis 
GCF_001986575.1,GCF_001986575.1,Bordetella pertussis 
GCF_001986615.1,GCF_001986615.1,Bordetella pertussis 
GCF_001986635.1,GCF_001986635.1,Bordetella pertussis 
GCF_001986655.1,GCF_001986655.1,Bordetella pertussis 
GCF_001986715.1,GCF_001986715.1,Bordetella pertussis 
GCF_001986695.1,GCF_001986695.1,Bordetella pertussis 
GCF_001986675.1,GCF_001986675.1,Bordetella pertussis 
GCF_001986735.1,GCF_001986735.1,Bordetella pertussis 
GCF_001986755.1,GCF_001986755.1,Bordetella pertussis 
GCF_001986775.1,GCF_001986775.1,Bordetella pertussis 
GCF_001986795.1,GCF_001986795.1,Bordetella pertussis 
GCF_001986835.1,GCF_001986835.1,Bordetella pertussis 
GCF_001986855.1,GCF_001986855.1,Bordetella pertussis 
GCF_001986815.1,GCF_001986815.1,Bordetella pertussis 
GCF_001986895.1,GCF_001986895.1,Bordetella pertussis 
GCF_001986875.1,GCF_001986875.1,Bordetella pertussis 
GCF_001986915.1,GCF_001986915.1,Bordetella pertussis 
GCF_001986935.1,GCF_001986935.1,Bordetella pertussis 
GCF_001986955.1,GCF_001986955.1,Bordetella pertussis 
GCF_001986975.1,GCF_001986975.1,Bordetella pertussis 
GCF_001986995.1,GCF_001986995.1,Bordetella pertussis 
GCF_001987015.1,GCF_001987015.1,Bordetella pertussis 
GCF_001987035.1,GCF_001987035.1,Bordetella pertussis 
GCF_001987055.1,GCF_001987055.1,Bordetella pertussis 
GCF_001987095.1,GCF_001987095.1,Bordetella pertussis 
GCF_001987075.1,GCF_001987075.1,Bordetella pertussis 
GCF_001987115.1,GCF_001987115.1,Bordetella pertussis 
GCF_001987135.1,GCF_001987135.1,Bordetella pertussis 
GCF_001987155.1,GCF_001987155.1,Bordetella pertussis 
GCF_001987175.1,GCF_001987175.1,Bordetella pertussis 
GCF_001987215.1,GCF_001987215.1,Bordetella pertussis 
GCF_001987195.1,GCF_001987195.1,Bordetella pertussis 
GCF_001987235.1,GCF_001987235.1,Bordetella pertussis 
GCF_001987255.1,GCF_001987255.1,Bordetella pertussis 
GCF_001987275.1,GCF_001987275.1,Bordetella pertussis 
GCF_001987315.1,GCF_001987315.1,Bordetella pertussis 
GCF_001987295.1,GCF_001987295.1,Bordetella pertussis 
GCF_001987335.1,GCF_001987335.1,Bordetella pertussis 
GCF_001987355.1,GCF_001987355.1,Bordetella pertussis 
GCF_001987375.1,GCF_001987375.1,Bordetella pertussis 
GCF_001987395.1,GCF_001987395.1,Bordetella pertussis 
GCF_001987415.1,GCF_001987415.1,Bordetella pertussis 
GCF_001987435.1,GCF_001987435.1,Bordetella pertussis 
GCF_001987455.1,GCF_001987455.1,Bordetella pertussis 
GCF_001987495.1,GCF_001987495.1,Bordetella pertussis 
GCF_001987475.1,GCF_001987475.1,Bordetella pertussis 
GCF_001987515.1,GCF_001987515.1,Bordetella pertussis 
GCF_001987535.1,GCF_001987535.1,Bordetella pertussis 
GCF_001987555.1,GCF_001987555.1,Bordetella pertussis 
GCF_001987575.1,GCF_001987575.1,Bordetella pertussis 
GCF_001987595.1,GCF_001987595.1,Bordetella pertussis 
GCF_001987615.1,GCF_001987615.1,Bordetella pertussis 
GCF_001987635.1,GCF_001987635.1,Bordetella pertussis 
GCF_001987655.1,GCF_001987655.1,Bordetella pertussis 
GCF_001987675.1,GCF_001987675.1,Bordetella pertussis 
GCF_001987695.1,GCF_001987695.1,Bordetella pertussis 
GCF_001987715.1,GCF_001987715.1,Bordetella pertussis 
GCF_001987735.1,GCF_001987735.1,Bordetella pertussis 
GCF_001987755.1,GCF_001987755.1,Bordetella pertussis 
