Label	Assembly	Domain	Phylum	Class	Order	Family	Genus	Species
GCF_016892765.1|WP_307826649.1	GCF_016892765.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga arvi
GCF_016427565.1|WP_199050242.1	GCF_016427565.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga splendida
GCF_000711725.1|WP_156963696.1	GCF_000711725.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Muricoccus	Muricoccus aerilatus
GCF_006438825.1|WP_140886157.1	GCF_006438825.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Muricoccus	Muricoccus nepalensis
GCF_009848505.1|WP_159349813.1	GCF_009848505.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Muricoccus	Muricoccus harenae
GCF_900141905.1|WP_073136692.1	GCF_900141905.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Muricoccus	Muricoccus roseus
GCF_017813365.1|WP_209373738.1	GCF_017813365.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Roseomonas	Roseomonas indoligenes
GCF_004005855.1|WP_127789362.1	GCF_004005855.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Rhodovarius	Rhodovarius crocodyli
GCF_009900765.1|WP_160123182.1	GCF_009900765.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Rhodovarius	Rhodovarius lipocyclicus
GCF_026183895.1|WP_301591369.1	GCF_026183895.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Sabulicella	Sabulicella glaciei
GCF_012163135.1|WP_168042438.1	GCF_012163135.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Neoroseomonas	Neoroseomonas oryzicola
GCF_014644535.1|WP_188967127.1	GCF_014644535.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Neoroseomonas	Neoroseomonas lacus
GCF_019430885.1|WP_219762911.1	GCF_019430885.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Roseomonas	Roseomonas alba
GCF_018128965.1|WP_211873233.1	GCF_018128965.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Plastoroseomonas	Plastoroseomonas arctica
GCF_018129085.1|WP_211856010.1	GCF_018129085.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Plastoroseomonas	Plastoroseomonas hellenica
GCF_021864505.1|WP_237217591.1	GCF_021864505.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Falsiroseomonas	Falsiroseomonas oryziterrae
GCF_011040385.1|WP_164693873.1	GCF_011040385.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Falsiroseomonas	Falsiroseomonas algicola
GCF_900114315.1|WP_092958531.1	GCF_900114315.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Falsiroseomonas	Falsiroseomonas stagni
GCF_012163145.1|WP_168054603.1	GCF_012163145.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Falsiroseomonas	Falsiroseomonas frigidaquae
GCF_019024325.1|WP_216836968.1	GCF_019024325.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Falsiroseomonas	Falsiroseomonas tokyonensis
GCF_012103215.1|WP_168033782.1	GCF_012103215.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Falsiroseomonas	Falsiroseomonas selenitidurans
GCF_019029495.1|WP_216877674.1	GCF_019029495.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Falsiroseomonas	Falsiroseomonas oleicola
GCF_024594815.1|WP_257719069.1	GCF_024594815.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Roseomonas	Roseomonas populi
GCF_050154705.1|WP_426957874.1	GCF_050154705.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Muricoccus	Muricoccus radiodurans
GCF_023223525.1|WP_248668602.1	GCF_023223525.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Roseomonas	Roseomonas acroporae
GCF_030657435.1|WP_305106039.1	GCF_030657435.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Paracraurococcus	Paracraurococcus lichenis
GCF_014283215.1|WP_186772426.1	GCF_014283215.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Siccirubricoccus	Siccirubricoccus deserti
GCF_016773205.1|WP_202832776.1	GCF_016773205.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Belnapia	Belnapia arida
GCF_030409335.1|WP_290319491.1	GCF_030409335.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Paeniroseomonas	Paeniroseomonas aquatica
GCF_039523795.1|WP_343896041.1	GCF_039523795.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus	Craurococcus roseus
GCF_016775475.1|WP_202828667.1	GCF_016775475.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Belnapia	Belnapia mucosa
GCF_900101615.1|WP_090665039.1	GCF_900101615.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Belnapia	Belnapia rosea
GCF_003258945.1|WP_128080072.1	GCF_003258945.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Roseicella	Roseicella frigidaeris
GCF_004343615.1|WP_132291649.1	GCF_004343615.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Roseicella	Roseicella aquatilis
GCF_004355005.1|WP_133293150.1	GCF_004355005.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Dankookia	Dankookia rubra
GCF_003004785.1|WP_158266844.1	GCF_003004785.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Alsobacteraceae	Alsobacter	Alsobacter soli
GCF_004522175.1|WP_134681728.1	GCF_004522175.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus	Paracoccus ravus
GCF_009711205.1|WP_155041828.1	GCF_009711205.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus	Paracoccus litorisediminis
GCF_029222685.1|WP_418902894.1	GCF_029222685.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Roseiarcaceae	Terripilifer	Terripilifer ovatus
GCF_003290125.1|WP_198411816.1	GCF_003290125.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga flavescens
GCF_008757455.1|WP_162419629.1	GCF_008757455.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga brassicacearum
GCF_020595095.1|WP_227383321.1	GCF_020595095.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga rosea
GCF_000314675.2|WP_006020110.1	GCF_000314675.2	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Afipia	Afipia broomeae
GCF_034720605.1|WP_183914317.1	GCF_034720605.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium	Rhizobium mulingense
GCF_002355335.1|WP_130364635.1	GCF_002355335.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Variibacter	Variibacter gotjawalensis
GCF_012910955.1|WP_169262313.1	GCF_012910955.1	Bacteria	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Aromatoleum	Aromatoleum diolicum
GCF_027864655.1|WP_337997973.1	GCF_027864655.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Oleispirillaceae	Oleispirillum	Oleispirillum naphthae
GCF_000381985.1|WP_169545054.1	GCF_000381985.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Novispirillaceae	Novispirillum	Novispirillum itersonii
GCF_900156605.1|WP_245821211.1	GCF_900156605.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Novispirillaceae	Insolitispirillum	Insolitispirillum peregrinum
GCF_001650715.1|WP_068495519.1	GCF_001650715.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Paramagnetospirillum	Paramagnetospirillum marisnigri
GCF_001650635.1|WP_245644368.1	GCF_001650635.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum moscoviense
GCF_018224925.1|WP_428846057.1	GCF_018224925.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum sulfuroxidans
GCF_021353265.1|WP_233375343.1	GCF_021353265.1	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Roseateles	Pelomonas cellulosilytica
GCF_001929405.1|WP_075257932.1	GCF_001929405.1	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum camelliae
GCF_051251145.1|WP_435639565.1	GCF_051251145.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Carnimonas	Carnimonas bestiolae
GCF_040049155.1|WP_348979906.1	GCF_040049155.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas silueang
GCF_004138485.1|WP_129778020.1	GCF_004138485.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Peristeroidobacter	Peristeroidobacter soli
GCF_042651805.1|WP_380605353.1	GCF_042651805.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	Steroidobacter flavus
GCF_040812335.1|WP_367852364.1	GCF_040812335.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Rhodanobacter	Rhodanobacter lycopersici
GCF_900114325.1|WP_092703576.1	GCF_900114325.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Rhodanobacter	Rhodanobacter glycinis
GCF_036688725.1|WP_332846292.1	GCF_036688725.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas lactucae
GCF_037076465.1|WP_261846691.1	GCF_037076465.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium	Pectobacterium araliae
GCF_011761565.1|WP_167082675.1	GCF_011761565.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Micropepsales	Micropepsaceae	Rhizomicrobium	Rhizomicrobium palustre
GCF_039537525.1|WP_184035847.1	GCF_039537525.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas endophytica
GCF_005860775.1|WP_138363155.1	GCF_005860775.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella indica
GCF_900110925.1|WP_069518283.1	GCF_900110925.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas cuatrocienegasensis
GCF_032395385.1|WP_315708141.1	GCF_032395385.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Brenneria	Brenneria uluponensis
GCF_008330085.1|WP_158262933.1	GCF_008330085.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	Kosakonia radicincitans
GCF_016909495.1|WP_205066635.1	GCF_016909495.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea coffeiphila
GCF_051175315.1|WP_435017335.1	GCF_051175315.1	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Tundrisphaera	Tundrisphaera macrotermitis
GCF_964023245.1|WP_348759209.1	GCF_964023245.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Candidatus Methylocalor	Candidatus Methylocalor cossyra
GCF_004342175.1|WP_132976175.1	GCF_004342175.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiobaca	Thiobaca trueperi
GCF_000223985.1|WP_007191555.1	GCF_000223985.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiocapsa	Thiocapsa marina
GCF_021228795.1|WP_232406509.1	GCF_021228795.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiocapsa	Thiocapsa bogorovii
GCF_018137965.1|WP_211633677.1	GCF_018137965.1	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter ambystomatis
GCF_025950095.1|WP_264516334.1	GCF_025950095.1	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter rhizosphaerae
GCF_038066715.1|WP_341404756.1	GCF_038066715.1	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter soli
GCF_025950235.1|WP_264489657.1	GCF_025950235.1	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter arcticus
GCF_025950085.1|WP_264501381.1	GCF_025950085.1	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter flavescens
GCF_004341915.1|WP_042724360.1	GCF_004341915.1	Bacteria	Verrucomicrobiota	Spartobacteria	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	Chthoniobacter flavus
GCF_016595465.1|WP_200351398.1	GCF_016595465.1	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter yonseiensis
GCF_009828925.2|WP_206444618.1	GCF_009828925.2	Bacteria	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylicorpusculum	Methylicorpusculum oleiharenae
GCF_000379525.1|WP_157639717.1	GCF_000379525.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Lamprocystis	Lamprocystis purpurea
GCF_002813775.1|WP_236848902.1	GCF_002813775.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiodictyon	Candidatus Thiodictyon syntrophicum
GCF_015207985.1|WP_194020512.1	GCF_015207985.1	Bacteria	Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis	Synechocystis salina
GCF_000169335.1|WP_008278067.1	GCF_000169335.1	Bacteria	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Crocosphaera	Crocosphaera chwakensis
GCF_000021805.1|WP_012594667.1	GCF_000021805.1	Bacteria	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Rippkaea	Rippkaea orientalis
GCF_003864295.1|WP_124975273.1	GCF_003864295.1	Bacteria	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Aphanothece	Aphanothece sacrum
GCF_000332315.1|WP_017712780.1	GCF_000332315.1	Bacteria	Cyanobacteriota	Cyanophyceae	Prochlorotrichales	Prochlorotrichaceae	Prochlorothrix	Prochlorothrix hollandica
GCF_000317145.1|WP_015160353.1	GCF_000317145.1	Bacteria	Cyanobacteriota	Cyanophyceae	Gomontiellales	Chamaesiphonaceae	Chamaesiphon	Chamaesiphon minutus
GCF_022848905.1|WP_244351790.1	GCF_022848905.1	Bacteria	Cyanobacteriota	Cyanophyceae	Thermostichales	Thermostichaceae	Thermostichus	Thermostichus vulcanus
GCF_001870225.1|WP_071454132.1	GCF_001870225.1	Bacteria	Cyanobacteriota	Cyanophyceae	Gloeomargaritales	Gloeomargaritaceae	Gloeomargarita	Gloeomargarita lithophora
GCF_026240635.1|WP_265903720.1	GCF_026240635.1	Bacteria	Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Trichocoleusaceae	Trichothermofontia	Trichothermofontia sichuanensis
GCF_022984195.1|WP_011377650.1	GCF_022984195.1	Bacteria	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus elongatus
GCF_024345595.1|WP_255096924.1	GCF_024345595.1	Bacteria	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus lacustris
GCF_002252705.1|WP_094591055.1	GCF_002252705.1	Bacteria	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Vulcanococcus	Vulcanococcus limneticus
GCF_000316515.1|WP_015109107.1	GCF_000316515.1	Bacteria	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Cyanobium	Cyanobium gracile
GCF_003003925.1|WP_106222762.1	GCF_003003925.1	Bacteria	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Aphanothece	Aphanothece minutissima
GCF_046613545.2|WP_411424457.1	GCF_046613545.2	Bacteria	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Aphanothece	Aphanothece microscopica
